rooms,bedrooms,population,households,value,inland
7490,1207,3329,1136,339700,1
2234,270,854,286,337200,1
1898,239,734,245,334100,1
4070,624,1543,577,311500,1
2244,301,937,324,296900,0
2948,471,1181,474,247900,0
2034,288,852,295,300400,1
2130,273,876,285,332400,1
9540,1294,3926,1229,389800,1
2702,680,1360,642,233000,1
522,116,161,102,238500,1
775,134,315,123,233300,0
1565,464,769,461,231300,1
1309,184,514,172,475800,1
5519,833,2444,825,393200,1
4337,800,1813,743,247200,1
1812,294,853,278,229400,1
4719,741,1895,742,282500,1
404,74,144,58,125000,1
4236,701,1833,663,300600,1
3634,664,1699,640,293200,1
1569,242,583,214,278500,1
13182,2074,4847,1950,352900,1
228,40,83,42,400000,1
127,23,51,21,375000,1
9621,1344,4389,1391,313700,1
6159,1510,2649,1241,139300,1
4290,554,1952,576,327500,1
1786,306,771,279,430600,1
404,74,144,58,125000,1
1671,352,729,252,450000,1
5608,1049,2595,1067,200200,0
12070,2220,5826,2125,192400,1
494,81,254,85,418800,1
5533,943,2474,910,216800,1
3956,639,2222,662,215500,1
5811,1125,3215,1086,223500,0
